file,number,artist,track
2stepgarage,1,Amira,My Desire
2stepgarage,2,Second Protocol,Basslick
2stepgarage,3,The Streets,Let'S Push Things Forward
2stepgarage,4,Mj Cole,Sincere
2stepgarage,5,Architechs Feat. Nana,Body Groove
2stepgarage,6,So Solid Crew,Nasty
2stepgarage,7,Dru C,Dub Plate Style
2stepgarage,8,The Artful Dodger Feat. Craig David,Something
2stepgarage,9,Dajae Feat. E-Smoove,Time
abstracthiphop,1,Dj Vadim / Herbaliser,Conquest Of The Irrational
abstracthiphop,2,Dj Food,Turtle Soup
abstracthiphop,3,Hexstatic,Ninja Tune
abstracthiphop,4,Blockhead,Triptych Part One
abstracthiphop,5,Dj Signify,Propaganda
abstracthiphop,6,Coldcut,Timber
acidbreaks,1,Simon,Two Crates
acidbreaks,2,Dj Voodoo Vs. The Liquid Method,Everybody Thinks I'M High And I Am
acidbreaks,3,Southside Reverb,Reverberation
acidbreaks,4,Kingsize,Acid Or Xtc
acidbreaks,5,Dave London,Get Down Tonight
acidbreaks,6,Thursday Club,A Place Called Acid
acidbreaks,7,Josh Wink,Higher State Of Consciousness
acidbreaks,8,Funky Robots,Tb303
acidhouse,1,Fast Eddie,Acid Thunder
acidhouse,2,D-Mob,We Call It Acieed
acidhouse,3,Bobby Konders,Nervous Acid
acidhouse,4,Bam Bam,Where'S Your Child?
acidhouse,5,Miss Nicky Trax,Acid In The House
acidhouse,6,Phuture,Acid Trax
acidjazz,1,Kruder & Dorfmeister,Definition
acidjazz,2,Arnica Montana,Eau De Malta
acidjazz,3,Silent Poets,Break In The Circle
acidjazz,4,Mateo & Matos,Taste Of Funk
acidjazz,5,Nightmares On Wax,Les Nuits
acidjazz,6,Ballistic Brothers,Blacker
acidjazz,7,Ronny Jordan,After Hours
acidjazz,8,Sofa Surfers,Sofa Rockers
acidjazz,9,Raw Instinct,De La Bass
acidtechno,1,Woody Mcbride,Basketball Heroes
acidtechno,2,Miss Djax,Evil Machines
acidtechno,3,Choice,Acid Eiffel
acidtechno,4,Tesox,Funky Bassline
acidtechno,5,Dave The Drummer,Shudder & Twitch
acidtechno,6,Fuzz Face,New Friends
acidtechno,7,Acid Scout,4 Degrees
acidtrance,1,Electric Skychurch,Deus
acidtrance,2,Balil,Parasight
acidtrance,3,Awex,It'S Our Future
acidtrance,4,Hardfloor,Acperience
acidtrance,5,Art Of Trance,Deeper Than Deep
acidtrance,6,Union Jack,Red Herring
acidtrance,7,Renegade Legion,Weeping Waste
acidtrance,8,Psychobabble,Inverted Forces
ambient,1,Klaus Schulze,Velvet Voyage
ambient,2,The Klf,Madrugada Eterna
ambient,3,Sylvian/Fripp,Bringing Down The Light
ambient,4,Tangerine Dream,Phaedra
ambient,5,The Orb,
ambient,6,Robert Rich & Steven Roach,Fearless
ambient,7,Dreamfish,School Of Fish
ambient,8,Speedy J,Fill 17
ambientbreaks,1,The Future Sound Of London,Papua New Guinea
ambientbreaks,2,Rob D,Clubbed To Death
ambientbreaks,3,Alter)Ring,Infinitely Gentle Blows
ambientbreaks,4,Moby,Porcelain
ambienthouse,1,Biosphere,Baby Interphase
ambienthouse,2,The Orb,Little Fluffy Clouds
ambientpsy,1,The Infinity Project,When Sound Becomes Color
ambientpsy,2,Shpongle,Divine Moments Of Truth
ambientpsy,3,Cosmosis,Afterglow
ambientpsy,4,Sundog,Seven Minutes 2 Midnight
ambienttechno,1,Theorem,Plas
ambienttechno,2,The Higher Intelligence Agency,Delta
ambienttechno,3,Aphex Twin,Xtal
ambienttechno,4,Plastikman,Consumed
ambienttechno,5,Orbital,Halcyon + On + On
ambienttrance,1,Leama,Requiem For A Dream
ambienttrance,2,It,Dream Injection
ambienttrance,3,Crystalsphere,Ambient=The Mind
ambienttrance,4,Air Liquide,If There Was No Gravity
ambienttrance,5,Mystic Force,Clearlight
anthembreaks,1,Music Instructor,Supersonic
anthembreaks,2,Dj Infiniti,Running Away
anthembreaks,3,Kay Cee,Escape
anthembreaks,4,Terra Skye,Is This Love
anthemhouse,1,2 Unlimited,Twilight Zone
anthemhouse,2,The Klf,What Time Is Love
anthemhouse,3,Sash,Encore Un Fois
anthemhouse,4,The Immortals,Techno Syndrome (Mortal Kombat)
anthemhouse,5,Faithless,Insomnia
anthemtrance,1,Sunflower,Cold Turkey
anthemtrance,2,Transa,Transtar
anthemtrance,3,The Generator,Where Are You Now
anthemtrance,4,Steve Morley,Reincarnations
anthemtrance,5,Dj Tandu,Velvet
anthemtrance,6,Pulp Victim,The World
anthemtrance,7,Agnelli & Nelson,El Nino
anthemtrance,8,Flutlicht,Icarus
anthemtrance,9,Cascade,Transcend
atmosphericjungle,1,Morcheeba,The Music That We Hear (Omni Trio Mix)
atmosphericjungle,2,Ltj Bukem,Horizons
atmosphericjungle,3,Lamb,Gorecki (Global Communication Mix)
atmosphericjungle,4,Apollo 440,Vanishing Point
atmosphericjungle,5,Blame,Alpha: 7
bangintechno,1,Cj Bolland,The Tingler
bangintechno,2,Mateo Murphy,First Impressio
bangintechno,3,Richie Hawtin,Orange/Minus 2
bangintechno,4,Speedy J,Electric Deluxe
bangintechno,5,Frankie Bones,Get This Str-8
bigbeat,1,Wildchild,Renegade Master
bigbeat,2,Fatboy Slim,Illuminati
bigbeat,3,Overseer,Supermoves
bigbeat,4,Cirrus,Break In
bigbeat,5,The Prodigy,Smack My Bitch Up
bigbeat,6,Chemical Brothers,Elektrobank
bootyhouse,1,Dj Funk,Let Me Bang
bootyhouse,2,Dj Funk,Da Booty Perk-U-Later
bootyhouse,3,Dj Funk,Pump It
bootyhouse,4,Dj Funk,Pop Them Thangs
bootyhouse,5,Dj Funk,Hold Up
bootyhouse,6,Dj Isaac,Face Down Ass Up
bootytrance,1,Lectrolux,The House Is Surrounded
breaktrance,1,General Midi,Further
breaktrance,2,Christian J,Understand
breaktrance,3,Starecase,Faith
breaktrance,4,Hybrid,Finished Symphony
buttrockgoa,1,Four Carry Nuts,Halogen
buttrockgoa,2,1200 Mics,Acid Or Nothing
buttrockgoa,3,Analog Pussy,Trance N Roll
buttrockgoa,4,Infected Mushroom,None Of This Is Real
buttrockgoa,5,Indica,Rock N Roll
buttrockgoa,6,Johann,Stranded (Delta Mix)
buttrockgoa,7,Dark Soho,Combustion
buttrockgoa,8,Xemomorph,Killer State
buttrockgoa,9,Sun Project,At The Edge Of Time
casiocore,1,Atom & His Package,Where Eagles Dare
casiocore,2,Stereo Total,Ushilo Sugata Ga Kilei
casiocore,3,Wesley Willis,Does It Really Matter What Song It Is?
casiocore,4,Casiotone For The Painfully Alone,In A Green Cotten Sweater
chemicalbreaks,1,Electroliners,Loose Caboose (Bassbin Twins Mix)
chemicalbreaks,2,Dj Friction & Spice,You Make Me Feel So Good
chemicalbreaks,3,Crystal Method,Busy Child
chemicalbreaks,4,Stisch,Pack Of Reds
chemicalbreaks,5,Uberzone,Botz
classichouse,1,Mixmasters,In The Mix
classichouse,2,Robert Owens,Bring Down The Walls
classichouse,3,Lil Louis,French Kiss
classichouse,4,Ecstasy,This Is My House
classichouse,5,Steve 'Silk' Hurley,Jack Your Body
classichouse,6,Larry Heard Aka Mr. Fingers,Can You Feel It
classichouse,7,Marshall Jefferson,Move Your Body
classictechno,1,Dopplereffekt,Superior Race
classictechno,2,Channel One,Technicolor
classictechno,3,Model 500,Future
classictechno,4,Model 500,No Ufos
classictechno,5,Cybotron,Clear
classictrance,1,Dance 2 Trance,We Came In Peace
classictrance,2,Emmanuel Top,Acid Phase
classictrance,3,Underworld,Thing In A Book
classictrance,4,Cosmic Baby,Magic Cubes
classictrance,5,Datura,Yerba Del Diablo
classictrance,6,Resistance D,Cosmic Love
classictrance,7,Commander Tom,The Vulcan
classictrance,8,Spicelab,Amorph
classictrance,9,Age Of Love,Age Of Love
coldwave,1,Die Krupps,Isolation
coldwave,2,Hate Dept,Master And Servant
coldwave,3,Acumen Nation,Ventilator
coldwave,4,Cubanate,Oxycetylene
coldwave,5,Chemlab,Jesus Christ Porno Star
crunk,1,Lil Scrappy Feat. Lil Jon,That'S Nasty
crunk,2,Three 6 Mafia Feat. Lil Flip,Ridin' Spinners
crunk,3,Mystikal Feat. Method Man,I Get It Started
crunk,4,Usher Feat. Lil Jon,Yeah
crunk,5,Ludacris Feat. Mystikal,Move Bitch
crunk,6,A-Team Feat. Lil Jon,What Dey Gon Do
crunk,7,Lil Jon & The Eastside Boys,Get Low
darkambient,1,Tetsu Inoue,Q-Tip
darkambient,2,Robert Rich & Lustmord,Hidden Refuge
darkambient,3,Armegeddon Project,Becoming
darkambient,4,Desiderii Marginis,Forlorn Pt. 2
darkambient,5,In Slaughter Natives,Beauty And Bleeding
darkbreaks,1,Tanith,Bronco
darkbreaks,2,Tsunami One,Number 43 With Steamed Rice Please
darkbreaks,3,Wizard Of Oh,Off To Demention X
darkcore,1,The Terrorist,The Chopper
darkcore,2,Dj Hype,Weird Energy
darkcore,3,Q Project,Champion Sound
darkcore,4,Ray Keith,Terrorist
darkhouse,1,Voodooamt,Nachtschicht
darkhouse,2,Pete Lazonby,Wavespeech
darkstep,1,Faith In Chaos ,Possession (Kemal & Rob Data Mix)
darkstep,2,Dom & Roland,Dynamo
darkstep,3,Dieselboy,Invid
darkstep,4,Rawthang,Beautiful Morning
darkstep,5,Leon Switch,Lucky Star
darkstep,6,Dj Trace,Mutant Revisited
darkstep,7,Technical Itch,The Rukus
darkstep,8,Dillinja And Lemon D,Grimey
darkstep,9,Usual Suspects,Synapse
darksynth,1,Skinny Puppy,Assimilate
darksynth,2,Beborn Beton,Another World
darksynth,3,Daf,Der Mussolini
darksynth,4,Cabaret Voltaire,Sensoria
darksynth,5,Wolfsheim,The Sparrows And The Nightingales
darktrance,1,Fascinated,Totally Fascinated
darktrance,2,Omar Santana,Raver'S Damnation (Deepsky Mix)
darktrance,3,De Niro,Mind Of Man
darktrance,4,Eric Prydz,Deeper Still
darktrance,5,Plastic Angel,Hardwired
darktrance,6,Anne Clark,Our Darkness (Total Eclipse Mix)
darktrance,7,Trancesetters,Roaches
darkwave,1,Black Tape For A Blue Girl,I Have No Answers
darkwave,2,Cocteau Twins,Millimillenary
darkwave,3,Mors Syphilitica,Dreams Of The Many
darkwave,4,Switchblade Symphony,Dollhouse
darkwave,5,London After Midnight,Kiss
darkwave,6,Cruxshadows,Clerestory
darkwave,7,Deine Lakaien,The Night Of Love
darkwave,8,Clan Of Xymox,Strangers
deathtrance,1,Synergy,World Of Bassline
deephouse,1,Moodymann,Mahogany Brown
deephouse,2,Miguel Migs,Petalpushing
deephouse,3,Terry Lee Brown Jr.,Terry'S House
deephouse,4,Kevin Yost & Peter Funk,Dreams Of You
deephouse,5,Aaron Carl,My House
deephouse,6,Blue Six,Music & Wine
deephouse,7,Sixteen Souls,Late Night Jam
deephouse,8,The Rurals,Make Amends
deephouse,9,Second Shift,Somethin' Else
deeptechno,1,Luomo,The Right Wing
deeptechno,2,Altitude,Further
deeptechno,3,Aril Brikha,On & On
deeptechno,4,Monolake,Index
deeptrance,1,The Fact,Contact
deeptrance,2,Dominion,11 Hours
deeptrance,3,Alexander Kowalski,Belo Horizonte
deeptrance,4,Ashtrax,Digital Reason
deeptrance,5,Excession,Affected
deeptrance,6,Sunday Club,Eterna'S Flight
deeptrance,7,Quirk,Soft Focus (Hyperion Mix)
deeptrance,8,Blue Amazon,And Then The Rain Falls
detroithouse,1,Eddie Fowlkes,Goodbye Kiss
detroithouse,2,Blake Baxter,When We Used To Play
detroithouse,3,Inner City,Big Fun
detroithouse,4,Suburban Knight,The Art Of Stalking
detroithouse,5,Kreem,Triangle Of Love
detroithouse,6,Rhythim Is Rhythim,Strings Of Life
detroittechno,1,Jeff Mills,The Bells
detroittechno,2,Damon Wild,Aqua
detroittechno,3,Carl Craig,Dreamland
detroittechno,4,Underground Resistance,Adrenalin
detroittechno,5,Kenny Larkin,Soul Man
detroittechno,6,Oscar Mulero & Jeff Mills,Cyclone
digitalhardcore,1,Ec8Or,I Don'T Want To Be Part Of This
digitalhardcore,2,Shizuo,Sweat
digitalhardcore,3,Bomb20 & Lawgiver,Basssssssssssss
digitalhardcore,4,Atari Teenage Riot,Start The Riot
dirtysouthrap,1,Too Short,I Luv
dirtysouthrap,2,Gucci Crew,That Girl
dirtysouthrap,3,Wreckx-N-Effect,Rumpshaker
dirtysouthrap,4,Splack Pack,Shake That Ass Bitch
dirtysouthrap,5,Freak Nasty,Da Dip
dirtysouthrap,6,Soundmaster T,2 Much Booty (In The Pants)
dirtysouthrap,7,2 Live Crew,Pop That Pussy
dirtysouthrap,8,Sir Mix-A-Lot,Baby Got Back
disco,6,Patrick Cowley,Menergy
disco,8,Sylvester,Stars
disco,7,Divine,Shoot Your Shot
disco,4,Amanda Lear,Follow Me
disco,3,Claudja Barry,Boogie Woogie Dancing Shoes
disco,5,Patrick Hernandez,Born To Be Alive
disco,1,"Lipps, Inc.",Funkytown
disco,2,Donna Summer,I Feel Love
discohouse,1,Dj Flex,Love For U
discohouse,2,Junior Jack,My Feeling
discohouse,3,Dj Ionic,Disco Mania
discohouse,4,Boogie Tunes,Takin' You Down
discohouse,5,C-Mos,Young
discohouse,6,Phats & Small,Turn Around (Olav Basoski Mix)
discohouse,7,Terrence Parker,Pure Disco
discohouse,8,Conga Squad,Cool
discohouse,9,Aldo & Felipe,Best Of Me
downbeat,1,Royksopp,Eple
downbeat,2,Olive,You'Re Not Alone
downbeat,3,Sneaker Pimps,6 Underground
downbeat,4,Beth Orton,Stars All Seem To Sleep
downbeat,5,Mandalay,Flowers Bloom
downbeat,6,Bjork,Army Of Me
dreamtrance,1,Imperio,Atlantis
dreamtrance,2,Zhi-Vago,Feel My Love
dreamtrance,3,Nylon Moon,Sky Plus
dreamtrance,4,Dj Panda,Forever Young
dreamtrance,5,Djk,I Like Chopin
dreamtrance,6,The Cynic Project,Trance Generation
dreamtrance,7,Wp Alex Remark,Pyramid
dreamtrance,8,Robert Miles,Children
dreamtrance,9,Dj Dado,Dreamscape
drumnbass,1,Baron,Meet The Creeper
drumnbass,2,Capone,Flow
drumnbass,3,Nightwalker,Head Nod
drumnbass,4,Decoder & Substance,Hazard
drumnbass,5,Dj Krust,Warhead
drumnbass,6,Juju & Calibre,Koka Remix
drumnbass,7,Photek,Knight Vision
drumnbass,8,Grooverider,On The Double
dubhouse,1,Lee 'Scratch' Perry,Rainy Night
dubhouse,2,Augustus Pablo,555 Dub Street
dubhouse,3,King Tubby And Soul Syndicate,Leaving Babylon
dubhouse,4,Mad Professor,Santero Dub
dubhouse,5,Jacob Miller,Baby I Love You
dubtechno,1,Kit Clayton,Material Problem
dubtechno,2,Thomas Fehlmann,Making It Whistle
dubtechno,3,Maurizio,E1 7
earlysynth,1,Dave Vouhaus,Three D
earlysynth,2,Roland Hovoc,Bits
earlysynth,3,Heinz Funk,Menuett
earlysynth,4,Kraftwerk,Autobahn
earlysynth,5,Dave Richmond,Movin' Along
earlysynth,6,Ron Geesin,Ambling Antics
earlysynth,7,Ted Atking & Alain Feanch,Children'S Carnival
earlysynth,8,Hot Butter,Popcorn
earlysynth,9,Bruce Haack,Mean Old Devil
eastcoastrap,1,Young Mc,Bust A Move
eastcoastrap,2,Dj Jazzy Jeff & The Fresh Prince,Parents Just Don'T Understand
eastcoastrap,3,Slick Rick,Mona Lisa
eastcoastrap,4,Biz Markie,Vapors
eastcoastrap,5,The Fat Boys,Breakdown
eastcoastrap,6,Beastie Boys,No Sleep Till Brooklyn
eastcoastrap,7,Ll Cool J,Momma Said Knock You Out
eastcoastrap,8,Public Enemy,Fight The Power
ebm,1,Electric Hellfire Club,Incubus (Leather Strip Mix)
ebm,2,And One,Techno Man
ebm,3,Nitzer Ebb,Murderous
ebm,4,Bigod 20,America
ebm,5,Front Line Assembly,Mindphaser
ebm,6,Cyberaktif,Black & White
ebm,7,Front 242,Motion
ebm,8,Assemblage 23,Love My Way
electro,1,Herbie Hancock,Rockit
electro,2,B.O.S.E,Rockin' To The Beat
electro,3,The Alliance,Action
electro,4,Freestyle,It'S Automatic
electro,5,Mantronix,Needle To The Groove
electro,6,Jonzun Crew,Pac Jam
electro,7,Newcleus,Jam On It
electro,8,Kraftwerk,Radioactivity
electro,9,Afrika Bambaataa,Planet Rock
electrofunk,1,Funkadelic,Electro-Cuties
electrofunk,2,Roger,"So Ruff, So Tuff"
electrofunk,3,Zapp,More Bounce To The Ounce
electrofunk,4,Rick James,Bad Mamma Jamma
electrofunk,5,Vaughn Mason & Crew,"Bounce, Rock, Skate, Roll"
electrofunk,6,Edwin Birdsong,Cola Bottle Baby
electrofunk,7,Laidback,Ride The White Horse
electrofunk,8,One Way,Cutie Pie
electrofunk,9,George Clinton,Atomic Dog
electroindustrial,1,Suicide Commando,Cause Of Death Suicide
electroindustrial,2,Wumpscut,Wulf
electroindustrial,3,Velvet Acid Christ,Pretty Toy
electroindustrial,4,Informatik,Nightlife
electroindustrial,5,New Mind,Love Missile F1-11
electroindustrial,6,Funker Vogt,Wartime
electroindustrial,7,Hocico,Bloodshed
electroindustrial,8,Haujobb,Rising Sun
electroindustrial,9,In Strict Confidence,Stripped
electronicclassical,1,Tomita,Gardens In The Rain
electronicclassical,2,Wenwaldyter Carlos,Sinfonia To Cantata No. 29
electronicclassical,3,Bbc Radiophonic Workshop,Theme From Dr. Who
electronicpsychedelia,1,Neu!,Hallogalo
electronicpsychedelia,2,Silver Apples,Program
electronicpsychedelia,3,The Beatles,Tomorrow Never Knows
electronicpsychedelia,4,White Noise,Love Without Sound
electronicpsychedelia,5,Pink Floyd,Welcome To The Machine
electronicpsychedelia,6,Pierre Henry,Too Fortiche
epichouse,1,Bryan Adams,Heaven (Stupid Dance Mix)
epichouse,2,Duran Duran,Ordinary World (Stupid Dance Mix)
epichouse,3,Don Henley,Boys Of Summer (Stupid Dance Mix)
epichouse,4,A-Ha,Take On Me (Stupid Dance Mix)
epichouse,5,Mike Oldfield,Moonlight Shadow (Stupid Dance Mix)
epictrance,1,The Thrillseekers,Synaesthesia
epictrance,2,Paul Van Dyk,For An Angel
epictrance,3,Vincent De Moor,Fly Away
epictrance,4,Kayestone,Atmosphere (Angelic Mix)
epictrance,5,Fragma,Everytime You Need Me
epictrance,6,Alice Deejay,Better Off Alone
epictrance,7,Ayla,Ayla Part Ii
epictrance,8,Kamaya Painters,Endless Wave
