file,number,artist,track
musiqueconcrete,1,Morton Subotnik,Silver Apples Of The Moon Part 1
musiqueconcrete,2,Tom Dissevelt,Anchor Chains
musiqueconcrete,3,Raymond Scott,Twilight In Turkey
musiqueconcrete,4,Karlheinz Stockhausen,Gesang Der Juenglinge
musiqueconcrete,5,Iannis Xenakis,Concret Ph
musiqueconcrete,6,Kid Baltan,Song Of The Second Moon
musiqueconcrete,7,Pierre Schaeffer,Etude Noire
musiqueconcrete,8,Edgar Varese,Poem Electronique
neurofunk,1,Synthetix,Lockdown
neurofunk,2,Kraken,Illusions
neurofunk,3,Black Sun Empire,Firing Squad
neurofunk,4,Wrisk,Diced Turkey
neurofunk,5,Teebee,Meteron
neurofunk,6,Stakka & Skynet,Violent Extremes
neurofunk,7,Psion,Reverse Engineering
newage,1,John Taylor,L'Autre Moi
newage,2,Ray Lynch,The Oh Of Pleasure
newage,3,Boko Suzuki,"Spirit, Breath, And Movement"
newage,4,Enya,Only Time
newbeat,1,Major Problem,I Still Have A Dream
newbeat,2,Amnesia,Ibiza
newbeat,3,Public Relations,Eighty Eight
newbeat,4,Confetti'S,The Sound Of C
newbeat,5,The Klf,It'S Grim Up North
newbeat,6,Lords Of Acid,I Sit On Acid
newbeat,7,101,Rock To The Beat
newjackswing,1,Toni Braxton,You'Re Making Me High
newjackswing,2,Blackstreet,No Diggity
newjackswing,3,Tony Toni Tone ,My Ex-Girlfriend
newjackswing,4,Salt 'N' Pepa,Let'S Talk About Sex
newjackswing,5,Milli Vanilli,Girl You Know It'S True
newjackswing,6,Tlc,Waterfalls
newjackswing,7,Boys Ii Men,End Of The Road
newjackswing,8,Bel Biv Devoe,Poison
newjackswing,9,En Vogue,My Lovin'
newwave,1,Synergy,Revolt At L-5
newwave,2,Gary Numan,I Nearly Married A Human
newwave,3,Yellow Magic Orchestra,Behind The Mask
newwave,4,Telex,L'Amour Toujour
newwave,5,Vangelis,Alpha
newwave,6,Giorgio Moroder,The Chase
newwave,7,Jean Michel Jarre,Oxygene Part Iv
noizecore,1,Navicon Torture Technologies,The Last Day
noizecore,2,Speedranch Vs End,Tea
noizecore,3,V/Vm,Music Fighter
noizecore,4,Government Alpha,Cryptic Cave
noizecore,5,Venetian Snares,All The Children Are Dead
nottrance,1,Envio,Touched By The Sun
nottrance,2,Pervading Call,Destiny
nottrance,3,Dumonde,God Music
nottrance,4,Human Evolution,Project Magenta
nottrance,5,Dj Tatana,Words
nottrance,6,System F,Exhale
nottrance,7,Scot Project,Overdrive
nottrance,8,4 Strings,Daytime
nottrance,9,Rank One,Airwave
nrg,1,Vinylgroover & The Redhead,Move Your Body
nrg,2,Captain Tinrib,Acid Pandemonium
nrg,3,Lab 4,Bardig
nrg,4,Fergie & Bk,House Of Pain
nrg,5,Chris C,Get On The Floor
nrg,6,Cortina,Higher
nrg,7,Od404,Bad Mothafucka
nrg,8,Steve Thomas,Higher
nrg,9,Bk & Nick Sentience,Noise
nuelectro,1,Ural 13 Diktators,Disko Kings
nuelectro,2,Drexciya,Bubblemetropolis
nuelectro,3,I-F,Space Invaders Are Smoking Grass
nuelectro,4,Dynamix Ii,Ignition
nuelectro,5,Industrial Bass Machine,The Voice Of World Control
nuelectro,6,Jedi Knights,May The Funk Be With You
nuelectro,7,Anthony Rother,Red Light District
nuitalodisco,1,Natascha Hagen,Que Sara
nuitalodisco,2,Gigi D'Agostino,Star
nuitalodisco,3,Sarina Paris,Just About Enough
nuitalodisco,4,Funny,Sing A Song
nuitalodisco,5,Becca,Come And Get My Love
nuitalodisco,6,Blockhouse,Disco Hit
nuitalodisco,7,Alicia,Open Your Eyes
nuitalodisco,8,Prezioso,Let'S Talk About A Man
nuitalodisco,9,Consilio,Take My Heart
nujazz,1,Skalpel,So Far
nujazz,2,Journeyman,Buscuits
nujazz,3,Jaga Jazzist,Made For Radio
nujazz,4,Luke Vibert,Get Your Head Down
nujazz,5,Hedfunk,Agua
nujazz,6,9 Lazy 9,The Herb
nujazz,7,Funki Porcini,Long Road
nuskoolbreaks,1,Stanton Warriors,Da Virus
nuskoolbreaks,2,Exile,Neuroscan
nuskoolbreaks,3,Blim,Chronologic
nuskoolbreaks,4,Ils,Requiem
nuskoolbreaks,5,Tipper,Twister
nuskoolbreaks,6,Junkie Xl,"Take The Red Pill, Take The Blue Pill"
nuskoolbreaks,7,Freq Nasty And Dee Kline,Every Posse & Crew
nusoul,1,Ashanti,Rock With You
nusoul,2,Destiny'S Child,Jumpin' Jumpin'
nusoul,3,Brandy,Turn It Up
nusoul,4,Aaliyah,More Than A Woman
nusoul,5,Alisha Keys,Karma
nusoul,6,India Arie,Video
nusoul,7,Keshia Chante,Unpredictable
nusoul,8,Lauren Hill,Doo Wop (That Thing)
nusoul,9,Mary J. Blige,Rainy Daze
nustylegabber,1,Noize Suppressor Vs Endymion,Gangboy
nustylegabber,2,Chaosphere Vs Evil Activities,Paranoid Dancer
nustylegabber,3,Rotterdam Terror Corps,Pandemonia
nustylegabber,4,G-Town Madness Vs. The Viper,Here It Comes
nustylegabber,5,Masters Of Ceremony,Hardcore Will Survive
nustylegabber,6,Headbanger,Psycho Game
nustylegabber,7,Bodylotion,Wanna Freak You
nustylegabber,8,Alienator,Causin' Panic
nustylegabber,9,Angerfist,My Style From The Dark Side
oldskoolravehardcore,1,Smart E'S,Sesame'S Treat
oldskoolravehardcore,2,Jimmy J & Cru-L-T,Runaway
oldskoolravehardcore,3,Arling & Cameron,We Love Dancing
oldskoolravehardcore,4,Dj Red Alert & Mike Slammer,Fucking Hardcore
oldskoolravehardcore,5,Acen,Trip Ii The Moon
oldskoolravehardcore,6,N-Trance,Set You Free
oldskoolravehardcore,7,Dj Sy,The Chain
oldskoolravehardcore,8,The Prodigy,Your Love
powerelectronics,1,Merzbow,Catch 22
powerelectronics,2,Nod,And Into Flesh I Shall Return
powerelectronics,3,Iron Justice,Nothing And Nothing Again
powerelectronics,4,Whitehouse,Why You Never Became A Dancer
powerelectronics,5,Imminent Starvation,Self Destruct
powerelectronics,6,Winterkalte,Maximum Credible Accident
powerelectronics,7,Brighter Death Now,Oh What A Night
powerelectronics,8,Converter,Blast Furnace
progressivebreaks,1,Petter,These Days
progressivebreaks,2,Digital Witchcraft,Kaylee'S Blanket
progressivebreaks,3,Kidneythieves,Placebo (Terminalhead Mix)
progressivebreaks,4,Momu,The Dive
progressivebreaks,5,Way Out West,Mindcircus
progressivebreaks,6,Burufunk,Welcome To The Real World
progressivebreaks,7,Bt,Fibonacci Sequence
progressivehop,1,Disposable Heroes Of Hiphoprisy,"Television, The Drug Of The Nation"
progressivehop,2,A Tribe Called Quest,Midnight
progressivehop,3,Deep Puddle Dynamics,Rainmen
progressivehop,4,"Slug, Eyedea & Sole",Savior
progressivehop,5,Del The Funky Homosapien,Phoney Phranchise
progressivehop,6,Black Eyed Peas,Empire Strikes Back
progressivehop,7,Swollen Members,Deep End
progressivehouse,1,Fuzzy Logic,Obsession
progressivehouse,2,React 2 Rhythm,Intoxication
progressivehouse,3,Spooky,Schmoo
progressivehouse,4,William Orbit,Water From A Vine Leaf
progressivehouse,5,X-Press 2,Supasong
progressivehouse,6,Leftfield,Open Up
progressivehouse,7,The Shamen,Boss Drum
progressivetrance,1,Tekara,Breathe In You
progressivetrance,2,Bt,Flaming June
progressivetrance,3,Spacepunks,Another Space (Pussy 2000 Mix)
progressivetrance,4,Three Drives On A Vinyl,Greece 2000
progressivetrance,5,Andy Ling,Fixation
progressivetrance,6,Lost Tribe,Gamemaster
progressivetrance,7,Lsg,Netherworld
progressivetrance,8,Sasha,Xpander
progressivetrance,9,Cm,Dream Universe
psychedelictrance,1,Penta,Neurotic Call
psychedelictrance,2,Process,Internal Horizons
psychedelictrance,3,Infected Mushroom,Acid Killer
psychedelictrance,4,Pleiadians,Jungle Trax
psychedelictrance,5,Blue Vortex,Tranceluzid Horizon
psychedelictrance,6,The Delta,Travelling At The Speed Of Thought
psychedelictrance,7,Gms Vs Alien Project,One Good
psychedelictrance,8,Digital Talk,New Age Surf
psychedelictrance,9,Man Made Man,Drama
psytekk,1,Necton,There Ain'T No Answers
psytekk,2,Yumade,Bass Is Bass
psytekk,3,Synthaik,Arcturus
psytekk,4,Ticon,We Are The Mammoth Hunters
psytekk,5,Cosma,Human Evolution
psytekk,6,Parasense,Iron Punk
psytekk,7,Spirallianz,Sidewinder
psytekk,8,Aphid Moon,A Lot Of Radio
raggajungle,1,Congo Natty,Wardance
raggajungle,2,Tribe Of Issachar,Champion Natty
raggajungle,3,Frankie Paul & Buju Banton,Bring Your Body
raggajungle,4,Remark,Sound Murderer
raggajungle,5,Bounty Killer & Beenie Man,Borderline Mobster
raggajungle,6,Freestylers,Warning
raggajungle,7,M-Beat Feat. General Levy,Incredible
raggajungle,8,Barrington Levi,Under Mi Sensi (X-Project Mix)
raggajungle,9,Shy Fx & Uk Apache,Original Nutta
rave,1,T99,Anastasia
rave,2,Messiah,Temple Of Dreams
rave,3,U96,Das Boot
rave,4,Second Phase,Mentasm
rave,5,Human Resource,Dominator
rave,6,Altern 8,Activ 8
rave,7,La Style,James Brown Is Dead
rave,8,The Hypnotist,Hardcore You Know The Score
rave,9,Channel X,Rave The Rhythm
riofunk,1,Mp4 Djs,Table
riofunk,2,Mc Serginho,Eguinha Pocoto
riofunk,3,As Meninas,Tapinha
riofunk,4,Furacao,Ta Tudo Dominado
rotterdam,1,Dj Radium,Power Surgeon
rotterdam,2,Dj Nosferatu,The Prayer
rotterdam,3,Mindustries,Playing The Game
rotterdam,4,Dj Rob & Da Future,Yeah
rotterdam,5,Mindcrimers,Reality
rotterdam,6,Masters Of Hardcore,Bring The Pain
soundcollage,1,The Justified Ancients Of Mu Mu,Whitney Joins The Jams
soundcollage,2,Tape Beatles,From The Tide Or The Wind
soundcollage,3,Negativland,Guns - Then
soundcollage,4,The Evolution Control Committee,Rocked By Rape
speedbass,1,Vbr,Odetolngbuildshrtpeaksc
speedbass,2,Dj Tendraw And The Gypsies Dog,Vocal Tripe (I'M Gonna Hurt You Mix)
speedbass,3,Prometheus Burning,Hurt
speedbass,4,Bathyst,Biotron Tanaka
speedbass,5,Meatsock,Detention Sex
speedcore,1,Dj Pw,Push The Funk
speedcore,2,Gabba Front Berlin,Speedcore Lacrima
speedcore,3,Disciples Of Annihilation,N.Y.C. Speedcore
speedcore,4,Hell'S Army,Speedcore Shit
speedcore,5,The Destroyer,Anytime
speedcore,6,Ricardo,Only Dj Noisekick Will Survive
speedcore,7,Dj Universe,Speedcore Mixb
speedcore,8,Dj Tron,Death
speedgarage,1,Buzzy Bus,Jump
speedgarage,2,187 Lockdown,Gunman
speedgarage,3,Northbank,Musik
speedgarage,4,Praxis Feat. Kathy Brown,Turn Me Out
speedgarage,5,Mr. Spring,Voyager 1.56
speedgarage,6,Double 99,Ripgroove
stupidhouse,1,Alex K,Pump It Up
stupidhouse,2,Jonesy,Independance
stupidhouse,3,Porn Kings,Up To No Good
stupidhouse,4,Lisa Lashes,Lookin' Good
stupidhouse,5,Junkfood Junkies,Hands Up
stupidhouse,6,Dj Jean,The Launch
stupidhouse,7,Lock 'N' Load,Blow Ya Mind
stupidhouse,8,666,The Devil
stupidhouse,9,Klubbheads,Kickin' Hard
subjungle,1,Dj Rap,Digable Bass
subjungle,2,Droppin' Science,Droppin' Science Vol. 1
subjungle,3,Omni Trio,Renegade Snares
subjungle,4,Hyper On Experience,Lords Of The Null Lines
subjungle,5,Origin Unknown,Valley Of Shadows
subjungle,6,Krome & Time,The License
subjungle,7,Dj Trace,The Lost Entity
swedishtechno,1,Adam Beyer & Joel Mull,The Advent Remake
swedishtechno,2,Archae & Grovskopa,Spark
swedishtechno,3,Thomas Krome,Bitches From Hell
swedishtechno,4,Ben Sims,Eroticon
swedishtechno,5,Cari Lekebusch,Planet Of Drums
swedishtechno,6,Adam Beyer,Drum Code
symphonictrance,1,Yomanda Feat. Emma Shapplin,Spente Le Stelle
symphonictrance,2,Taste Experience,Summersault
symphonictrance,3,Brain Bug,Rain
symphonictrance,4,Crescendo,Are You Out There
synthpop,1,When In Rome,The Promise
synthpop,2,Animotion,Obsession
synthpop,3,Eurythmics,Sweet Dreams
synthpop,4,Petshop Boys,It'S A Sin
synthpop,5,A Flock Of Seaguls,I Ran (So Far Away)
synthpop,6,Ultravox,Sleepwalk
synthpop,7,Information Society,What'S On Your Mind (Pure Energy)
synthpop,8,Human League,Don'T You Want Me Baby
synthpop,9,New Order,Blue Monday
synthtron,1,Adult.,Kick In The Shin
synthtron,2,Bangkok Impact,Aspirin
synthtron,3,Legowelt,Disco Rout
synthtron,4,Golden Boy With Miss Kittin,Kuckucksuhr
synthtron,5,Fischerspooner,Emerge
synthtron,6,Jeans Team,Keine Melodien
synthtron,7,Freezepop,Bike Thief
synthtron,8,Ladytron,Playgirl
synthtron,9,Felix Da Housecat,Happy Hour
techhouse,1,Casey Hogan,Uncut
techhouse,2,Gene Farris,Go Bump In The Night
techhouse,3,Chris Doria,Busrider
techhouse,4,Dave Aude,Push That Thing
techhouse,5,Laurent Wolf,Pump It Up
technodance,1,Together,Hardcore Uproar
technodance,2,Utah Saints,Something Good
technodance,3,S'Express,Theme From S'Express
technodance,4,C&C Music Factory,Everybody Dance Now
technodance,5,Technotronic,Pump Up The Jam
technodance,6,Latour,Blue
technodance,7,Snap!,The Power
technodance,8,M/A/R/R/S,Pump Up The Volume
techstep,1,Eye-D & Kid Entropy,Wireless
techstep,2,Ed Rush & Optical & Fierce,Alien Girl
techstep,3,Jonny L,Piper
techstep,4,Panacea,Motion Sickness
techstep,5,Dj Hidden,Skektics
techstep,6,Bad Company,The Nine
techstep,7,Ganja Kru,Politrix
techtrance,1,Agoria,Radio City
techtrance,2,Christian Morgenstern,Hawaii Blue
techtrance,3,Brian Zentz,Algebra
techtrance,4,Steve Porter,Mindless
techtrance,5,Marco V,Indicator
techtrance,6,Der Dritte Raum,Hale Bopp
techtrance,7,Ronny Priest,Tracked Romance Pt. 1
techtrance,8,Breeder,The Chain
techtrance,9,Timo Maas,Riding On A Storm
terrorcore,1,D'Spyre & Hamunaptra,Threebond Of Consent
terrorcore,2,Androgyn Network,Cannibalistic
terrorcore,3,Alcore,Evil Church
terrorcore,4,Nordcore Gmbh,Now
terrorcore,5,Delta 9,Real Hardcore
trancecore,1,Deejay Bee & Overflow,Sunrise
trancecore,2,Sharkey & Energy,Take Me Up
trancecore,3,Justrich & Phosopher,Ain'T No Stoppin' This
trancecore,4,Dougal & Gammer,Jam The Nightclub
trancecore,5,"Social Outcast Vs Shanyu, Tazz, Concept",Twist Of Faith
trancecore,6,Dave Davis,Transfiguration
trancecore,7,Clsm,Liberation
trancestep,1,John B,Celebrity
trancestep,2,Counterstrike,V
trancestep,3,Sta & Paul B,Secrets Inside
trancestep,4,Plexus,Speedfreak
trancestep,5,Raiden,Fallin'
trancestep,6,Cydefx,Timescape
trancestep,7,John B,American Girls
trancestep,8,Concord Dawn,Morning Light
tribalbreaks,1,Planet Funk,Inside All The People
tribalbreaks,2,Lee Coombs & Meat Katie,Two Men On A Trip
tribalbreaks,3,Rhythm Method,Sorrow
tribalhouse,1,Kao,Pressure (Undisputed Truth Mix)
tribalhouse,2,Dj Jeno,The Bone
tribalhouse,3,H-Foundation,Homegrown
tribalhouse,4,Papacha,Sentossa
tribalhouse,5,The Goodmen,Give It Up
tribalhouse,6,Dubtribe Soundsystem,Hasta Luego Mi Hermano
tribaltechno,1,Cave,Streetcarnival
tribaltechno,2,Kev Wright,Getting Closer
tribaltechno,3,Papacha,Benimussa (Chus & Ceballos Mix) 
tribaltechno,4,Boriqua Tribez,Punto
tribaltechno,5,Rhythm & Kane,Feel The Drums (Tony Thomas Mix)
tribaltechno,6,Peace Division,Feel My Drums
tribaltechno,7,John Acquaviva,More Percussions
tribaltrance,1,Etnoscope,Sunrise
tribaltrance,2,Tarantella,Karma
tribaltrance,3,"Indart, Chus & Ceballos",Momentos Oscuros
tribaltrance,4,Head Honcho,Medicene
tribaltrance,5,"Indart, Colors & Legaz",Remember The Past
tribaltrance,6,Parks & Wilson,My Orbit
triphop,1,Aztech,Manifesto
triphop,2,Tricky,Strugglin'
triphop,3,Portishead,Humming
triphop,4,Massive Attack Feat. Elizabeth Fraser,Teardrop
turntablism,1,Cut Chemist,The Periodic Table
turntablism,2,Mix Master Mike,Supa Wyde Laces
turntablism,3,Dj Q-Bert,Razor Blade Alcohol Slide
turntablism,4,Kid Koala,Fender Bender
ukhouse,1,Shmuel Flash,Chilling Moments
ukhouse,2,Satoshi Tomiie,Love Traffic
ukhouse,3,Landa,Music N Control
ukhouse,4,Heller & Farley,The Rising Sun (Bedrock Mix)
ukhouse,5,Corvin Dalek,Young People
ukhouse,6,Tiny Trendies,The Sky Is Not Crying
ukhouse,7,Sven Vath,Barbarella (Deep Dish Mix)
ukhouse,8,Tungsten,Carbine
ukhouse,9,Trisco,Muzak
vgm,1,Patrick Phelan,Top Gear - Track One (Snes)
vgm,2,Nullsleep,Her Lazer Light Eyes
vgm,3,The Slowes,Rave Til Noon
vgm,4,David Whittaker,Lazy Jones
vgm,5,Rob Hubbard,Zoids (C64)
vgm,6,Golden Shower,Video Computer System
vocalhouse,1,Ce Ce Peniston,Finally
vocalhouse,2,Chanelle,Work That Body
vocalhouse,3,Foreal People,Gotta Thing
vocalhouse,4,Black Box,Ride On Time
vocalhouse,5,Ministers De La Funk,Believe
vocalhouse,6,Kym Mazelle,Young Hearts Run Free
vocalhouse,7,Ultra Nate,A New Kind Of Medicine
vocalhouse,8,49Ers,Touch Me
vocalhouse,9,Murk Vs. Kristine W.,Some Lovin'
westcoastrap,1,Nwa,Straight Outta Compton
westcoastrap,2,Xzibit,Front 2 Back
westcoastrap,3,Cypress Hill,Insane In The Brain
westcoastrap,4,Eazy-E,Hit The Hooker
westcoastrap,5,Ice Cube,Wicked
westcoastrap,6,Ice-T,"Money, Power, Women"
worldbeat,1,Gotan Project,Sufism
worldbeat,2,Declan Flynn,Bahatu
worldbeat,3,Afro Celt Sound System,Amber
worldbeat,4,Deep Forest,Deep Forest
worldbeat,5,Baaba Maal,I Will Follow You
worldbeat,6,Enigma,Return To Innocence
worldbeat,7,Delirium,'Til The End Of Time
worldbeat,8,B-Tribe,Suave Suave
worldbeat,9,Loop Guru,Papasus
